,index,feedername,complete,in_progress,total
0,1381,LPB03VB01,0,14,14
1,0,TEA08VB01,0,0,0
2,1424,MRM04VB01,35,41,76
3,1220,CDO04VB01,7,0,7
4,1233,CMA02VB01,9,5,14
5,1389,MCA01VB01,1,0,1
6,1333,FAA02VB01,20,0,20
7,0,HOA06VB01,0,0,0
8,0,NIA08VB01,0,0,0
9,3125,SGA06VB01,1,1,2
10,1211,WPA05VB01,2,0,2
11,0,CRA07VB01,0,0,0
12,0,NIA05VB01,0,0,0
13,0,LPA05VB01,0,0,0
14,0,NIA02VB01,0,0,0
15,1346,HOA08VB01,12,140,152
16,0,LNB09VB01,0,0,0
17,1256,CMC03VB01,8,13,21
18,0,PAU05VB01,0,0,0
19,1354,LIA05VB01,6,0,6
20,1448,PAU01VB01,5,67,72
21,1293,CMV02VB01,3,5,8
22,1382,LPB04VB01,13,0,13
23,1292,CMV01VB01,2,1,3
24,1328,DKA06VB01,40,41,81
25,3127,SGA08VB01,5,9,14
26,1440,PAN02VB01,7,0,7
27,0,DKA09VB01,0,0,0
28,0,TEA10VB01,0,0,0
29,0,CKN04VB01,0,0,0
30,1315,CRB10VB01,5,5,10
31,0,CRA02VB01,0,0,0
32,1337,FAA07VB01,12,1,13
33,0,WPA10VB01,0,0,0
34,0,DKA03VB01,0,0,0
35,0,MJU01VB01,0,0,0
36,1415,MHA09VB01,15,3,18
37,1435,NIA03VB01,2,3,5
38,0,DKA01VB01,0,0,0
39,0,CKN05VB01,0,0,0
40,0,SKP04VB01,0,0,0
41,1379,LPA10VB01,19,5,24
42,1430,MRM10VB01,25,4,29
43,1261,CMC09VB01,12,7,19
44,0,NIC09VB01,0,0,0
45,1401,MEA04VB01,8,0,8
46,0,PAN06VB01,0,0,0
47,1410,MHA03VB01,45,6,51
48,1318,CSA06VB01,0,4,4
49,1329,DKA08VB01,1,0,1
50,1249,CMB08VB01,17,49,66
51,1456,PYA05VB01,18,27,45
52,1190,SKP02VB01,8,19,27
53,0,FAA10VB01,0,0,0
54,1413,MHA07VB01,4,4,8
55,0,CMC07VB01,0,0,0
56,0,TEA09VB01,0,0,0
57,1419,MLA06VB01,4,0,4
58,0,PYB03VB01,0,0,0
59,0,PAN08VB01,0,0,0
60,0,CSA03VB01,0,0,0
61,1443,PAN05VB01,16,0,16
62,1369,LNC02VB01,2,0,2
63,1357,LNA02VB01,6,29,35
64,1350,LIA01VB01,2,0,2
65,0,CDO05VB01,0,0,0
66,1414,MHA08VB01,4,4,8
67,0,BGA02VB01,0,0,0
68,1390,MCA02VB01,1,0,1
69,1386,LPC01VB01,0,21,21
70,1336,FAA06VB01,7,0,7
71,0,MFU01VB01,0,0,0
72,0,NIC03VB01,0,0,0
73,1303,CRA06VB01,2,0,2
74,1437,NIA06VB01,0,0,0
75,0,CME02VB01,0,0,0
76,3124,SGA05VB01,4,10,14
77,0,TNG04VB01,0,0,0
78,0,MLA10VB01,0,0,0
79,1459,PYA08VB01,24,4,28
80,0,XSU04VB01,0,0,0
81,1396,MCA08VB01,4,0,4
82,1452,PYA01VB01,74,0,74
83,0,WPA09VB01,0,0,0
84,1340,HCA01VB01,1,0,1
85,0,NIU02VB01,0,0,0
86,1320,CUN01VB01,0,0,0
87,0,PAU03VB01,0,0,0
88,1327,DKA05VB01,8,0,8
89,1335,FAA04VB01,33,17,50
90,1224,CEA06VB01,25,54,79
91,1314,CRB09VB01,2,0,2
92,0,CUN09VB01,0,0,0
93,0,TNG06VB01,0,0,0
94,1273,CMD05VB01,47,0,47
95,0,CUN08VB01,0,0,0
96,1244,CMB03VB01,19,15,34
97,1237,CMA06VB01,19,18,37
98,0,NIA09VB01,0,0,0
99,0,MCA10VB01,0,0,0
100,0,LNC08VB01,0,0,0
101,1286,CMF05VB01,8,20,28
102,0,MJU02VB01,0,0,0
103,0,MCA09VB01,0,0,0
104,1321,CUN02VB01,1,0,1
105,1342,HCA03VB01,2,16,18
106,1210,WPA04VB01,3,2,5
107,1229,CHM03VB01,11,0,11
108,1366,LNB08VB01,5,1,6
109,1377,LPA08VB01,19,3,22
110,1387,LPC02VB01,0,14,14
111,1380,LPB02VB01,0,8,8
112,1247,CMB06VB01,19,13,32
113,1193,SKP06VB01,19,0,19
114,0,MFU02VB01,0,0,0
115,0,PAS01VB01,0,0,0
116,1454,PYA03VB01,82,23,105
117,1418,MLA05VB01,6,0,6
118,1376,LPA07VB01,5,0,5
119,1250,CMB09VB01,46,15,61
120,0,CEA05VB01,0,0,0
121,1326,DKA04VB01,1,0,1
122,0,NIC10VB01,0,0,0
123,0,XSU03VB01,0,0,0
124,0,TEA03VB01,0,0,0
125,1395,MCA07VB01,1,0,1
126,1375,LPA06VB01,41,4,45
127,1427,MRM07VB01,39,38,77
128,0,LNC09VB01,0,0,0
129,1218,CDO02VB01,11,0,11
130,3126,SGA07VB01,0,5,5
131,0,PYB04VB01,0,0,0
132,1399,MEA02VB01,1,0,1
133,0,MMU01VB01,0,0,0
134,1285,CMF04VB01,18,12,30
135,0,CHM04VB01,0,0,0
136,0,MAA03VB01,0,0,0
137,1234,CMA03VB01,50,28,78
138,1421,MRM01VB01,12,16,28
139,1332,FAA01VB01,13,0,13
140,1197,SKP10VB01,0,3,3
141,0,NIC07VB01,0,0,0
142,0,HOA02VB01,0,0,0
143,0,MAA05VB01,0,0,0
144,0,XSU05VB01,0,0,0
145,1304,CRA08VB01,3,0,3
146,1243,CMB02VB01,4,2,6
147,1316,CSA01VB01,1,0,1
148,1309,CRB02VB01,10,0,10
149,1445,PAS02VB01,1,0,1
150,1406,MEA10VB01,7,0,7
151,1275,CMD07VB01,78,16,94
152,0,NIC01VB01,0,0,0
153,1284,CMF03VB01,5,16,21
154,0,WPA07VB01,0,0,0
155,0,MHA05VB01,0,0,0
156,1209,WPA03VB01,4,0,4
157,1308,CRB01VB01,3,0,3
158,1442,PAN04VB01,15,0,15
159,1290,CMU04VB01,11,32,43
160,1313,CRB08VB01,10,0,10
161,1334,FAA03VB01,10,0,10
162,1196,SKP09VB01,0,4,4
163,1235,CMA04VB01,2,12,14
164,0,LPB08VB01,0,0,0
165,1436,NIA04VB01,2,0,2
166,0,PYB05VB01,0,0,0
167,1225,CEA07VB01,3,0,3
168,0,CME01VB01,0,0,0
169,1194,SKP07VB01,24,22,46
170,1301,CRA04VB01,5,1,6
171,1299,CRA01VB01,16,0,16
172,0,MTA03VB01,0,0,0
173,1363,LNB03VB01,1,0,1
174,1305,CRA10VB01,4,0,4
175,0,MAA02VB01,0,0,0
176,1409,MHA02VB01,7,7,14
177,0,LNB04VB01,0,0,0
178,1208,WPA02VB01,1,0,1
179,1438,NIU03VB01,2,0,2
180,0,MHA10VB01,0,0,0
181,0,BGA03VB01,0,0,0
182,0,PYB01VB01,0,0,0
183,1205,TNG09VB01,19,1,20
184,0,LPA01VB01,0,0,0
185,1325,DKA02VB01,37,0,37
186,3123,SGA04VB01,5,3,8
187,1348,HOA10VB01,56,80,136
188,1417,MLA02VB01,8,0,8
189,1217,CDO01VB01,4,0,4
190,1408,MHA01VB01,35,140,175
191,0,MLA04VB01,0,0,0
192,1246,CMB05VB01,36,19,55
193,1434,NIA01VB01,0,4,4
194,1312,CRB07VB01,9,0,9
195,1428,MRM08VB01,0,9,9
196,1241,CMA10VB01,0,32,32
197,1272,CMD04VB01,31,11,42
198,1302,CRA05VB01,1,3,4
