,feeder,equipment,type
0,TAA05,TAA05C-02,SCB
1,TAA05,TAA05VC-01,SCB
2,BNA05,BNA05C-01,SCB
3,NAA09,NAA03VC-01,SCB
4,TPH04,TPH04VC-01,SCB
5,TPH04,TPH04VC-02,SCB
6,SWA02,PIH03VC-01,SCB
7,DCA04,DCA04VC-01,SCB
8,PRA03,PRA03VC-01,SCB
9,PLC04,PLC04VC-03,SCB
10,PLC04,99999C-99,SCB
11,PLC04,PLC4VC-15,SCB
12,PLC04,PLC04VC-01,SCB
13,PLC04,PLC04VC-99,SCB
14,TPH02,TPH02VC-01,SCB
15,PLA09,PLC07VC-02,SCB
16,UTA07,UTA07VC-01,SCB
17,BNA08,BNA08VC-01,SCB
18,TSK01,UTA06VC-02,SCB
19,NAB03,NAB03VC-01,SCB
20,STA02,STA02VC-01,SCB
21,STA02,STA02C-02,SCB
22,RKA09,RKA01VC-01,SCB
23,SWA08,SWA08VC-01,SCB
24,WGT10,WGT10VC-01,SCB
25,WGT10,WGT10VC-02,SCB
26,WGT10,WGT10VC-03,SCB
27,PSN04,PSN04C-01,SCB
28,PSN04,PSN04C-02,SCB
29,WBA04,WBA04VC-01,SCB
30,WBA04,WBA04C-01,SCB
31,KPA09,PKT03VC-02,SCB
32,TAA06,TAA06VC-01,SCB
33,TAA06,TAA06VC-02,SCB
34,MSU05,MSA01VC-02,SCB
35,PLB03,PLB03VC-02,SCB
36,STA05,STA05VC-03,SCB
37,STA05,STA04VC-01,SCB
38,STA05,STA05VC-01,SCB
39,STA05,STA05VC-02,SCB
40,DCA08,DCA08VC-03,SCB
41,DCA08,DCA08VC-01,SCB
42,DCA08,DCA08VC-04,SCB
43,DCA08,DCA08VC-02,SCB
44,STA08,STA08VC-01,SCB
45,STA08,STA08C-03,SCB
46,PKT03,PKT01VC-01,SCB
47,PKT03,PKT01VC-02,SCB
48,UTA09,UTA09VC-01,SCB
49,PSN01,BNA07VC-02,SCB
50,KPB03,KPB03VC-02,SCB
51,KPB03,KPB03VC-01,SCB
52,WBA03,WBA03VC-01,SCB
53,WGT02,WGT05VC-01,SCB
54,SZA03,KKU08VC-01,SCB
55,MSA09,MSA05VC-02,SCB
56,MSA09,MSA09VC-01,SCB
57,TAA07,TAA07C-03,SCB
58,SKA01,SKA01VC-01,SCB
59,PLA05,PLA09VC-01,SCB
60,PLA05,PLA05VC-01,SCB
61,WBA02,99999C-99,SCB
62,PSN03,BNA07VC-04,SCB
63,RKA10,RKA02VC-01,SCB
64,KPA01,KPA01VC-01,SCB
65,KPA01,KPA01VC-02,SCB
66,PUU04,PUU04VC-01,SCB
67,SSL04,UTA04VC-01,SCB
68,PSN02,PSN04C-00,SCB
69,PSN02,BNA06VC-03,SCB
70,PSN02,PSN02VC-101,SCB
71,PSN02,PSN02C-01,SCB
72,SWA07,SWA07VC-00,SCB
73,SWA07,SWA07VC-02,SCB
74,PLC09,PLC09VC-01,SCB
75,PLC09,PLC09VC-02,SCB
76,PLC09,PLC9FC-01,SCB
77,TAA10,TAA04VC-01,SCB
78,KPB01,KPB01VC-01,SCB
79,KPB01,KPB01VC-02,SCB
80,WGT01,WGT01VC-01,SCB
81,MSA08,MSA08VC-01,SCB
82,PIH07,PIH07VC-01,SCB
83,PUU02,PUU08VC-01,SCB
84,PUU02,PUU02VC-04,SCB
85,PUU02,PUU02VC-02,SCB
86,PUU02,PUU02VC-01,SCB
87,BNA04,BNA04VC-02,SCB
88,BNA04,BNA04VC-01,SCB
89,BNA04,BNA04C-03,SCB
90,KPA06,KPA06VC-01,SCB
91,MSA01,MSA01VC-01,SCB
92,PRA07,pra07VC-01,SCB
93,PRA07,PRA07VC-02,SCB
94,PLA03,PLT03VC-01,SCB
95,PLA03,PLA02VC-03,SCB
96,PLA03,PLA02VC-01,SCB
97,PLA03,PLA03VC-02,SCB
98,TSK02,UTA06VC-01,SCB
99,TSK02,PIH04VC-04,SCB
100,TSK02,PIH04VC-03,SCB
101,DCA02,DCA02VC-01,SCB
102,DCA02,DCA07VC-02,SCB
103,WBT04,WBT04VC-01,SCB
104,WBT04,WBT04C-04,SCB
105,PKT01,PKT04VC-02,SCB
106,PKT01,PKT04VC-01,SCB
107,TAA09,TAA07VC-01,SCB
108,TAA09,TAA07VC-02,SCB
109,PUU06,PUU01VC-01,SCB
110,PIA07,PIA07VC-01,SCB
111,MSA02,MSU02VC-01,SCB
112,PLC10,PLC10VC-02,SCB
113,PLC10,PLC10VC-01,SCB
114,STA03,STA03VC-03,SCB
115,STA03,STA03VC-01,SCB
116,STA03,STA03C-04,SCB
117,TPH10,TPH10VC-01,SCB
118,PIA08,PIA08VC-01,SCB
119,PIA08,PIA03VC-01,SCB
120,PIA08,PIA03VC-02,SCB
121,PLB04,PLB04VC-01,SCB
122,BNA03,BNA03VC-02,SCB
123,BNA03,BNA03VC-01,SCB
124,WGT03,WGT03VC-01,SCB
125,PLB02,PPH04VC-02,SCB
126,PLA01,PLB03VC-01,SCB
127,UTA03,UTA03VC-01,SCB
128,UTA03,PIH09VC-01,SCB
129,NAA08,NAA08VC-01,SCB
130,NAA08,NAA03VC-02,SCB
131,NAA08,NAA08VC-02,SCB
132,PRA02,PRA02VC-01,SCB
133,PRA02,PRA02VC-02,SCB
134,DCA06,DCA06VC-02,SCB
135,DCA06,DCA06VC-01,SCB
136,PKT05,PKT05VC-01,SCB
137,DCA07,DCA01VC-02,SCB
138,WBT05,WBT05VC-01,SCB
139,WBT05,WBT05VC-02,SCB
140,TPH03,TPH03VC-01,SCB
141,RKA03,RKA03C-01,SCB
142,PIA09,PIA09VC-01,SCB
143,MSA12,MSA04VC-02,SCB
144,MSA12,MSA04VC-01,SCB
145,KKU09,KKU05VC-01,SCB
146,KKU09,KKU05VC-03,SCB
147,TPH06,TPH06VC-01,SCB
148,PIH04,PIH04VC-01,SCB
149,PIH04,PIH04VC-02,SCB
150,UTA10,UTA10VC-02,SCB
151,SZA07,SZA07VC-01,SCB
152,NAT02,NAT04VC-01,SCB
153,NAT02,NAT02VC-01,SCB
154,LKA01,LKA01VC-01,SCB
